method,runs,events,mean_duration_ms,mean_events_per_sec,min_events_per_sec,max_events_per_sec,stddev_events_per_sec
blake3_batch,10,1000000,14.8556,67314543.15,67189133.85,67416672.66,66510.48
hmac_sha256_batch,10,1000000,6.9447,143995235.98,143314582.53,144465810.94,366045.35
ksentry_triangular,10,1000000,5.5171,181258322.78,180440437.06,182221155.62,622346.44
merkle_chunks_1024,10,1000000,14.8394,67388420.12,67251408.70,67472517.94,61396.39
rolling_hash_affine,10,1000000,4.1095,243342641.30,242052156.91,244050178.67,606194.56
