method,events,duration_ms,events_per_sec,digest
ksentry_triangular,1000000,5.5428,180414882.06,915923055
rolling_hash_affine,1000000,4.1432,241356772.62,400094257
blake3_batch,1000000,14.8730,67236034.86,9b199f8213b08f49
hmac_sha256_batch,1000000,6.9287,144327260.33,5f39a6b97ac7e5de
merkle_chunks_1024,1000000,14.8185,67483172.56,966b0e755c8997cf
